"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","FC1_Plant_ChlCont_FRF_G","FC1_Plant_ChlCont_RF_G","FC1_Plant_ChlCont_RF_Gcorr","FC1_Plant_ChlCont_SFR_G","FC1_Plant_ChlCont_FRF_R","FC1_Plant_ChlCont_RF_R","FC1_Plant_ChlCont_RF_Rcorr","FC1_Plant_ChlCont_SFR_R"
"9/10/2023",30,"L8_C_17","L8","Control","FC1",24318.37379,4784.753398,14354.26019,1.694157237,18665.9343,4081.020893,12243.06268,1.524613146
"9/10/2023",30,"L8_C_4","L8","Control","FC1",25961.9343,5016.22998,15048.68994,1.725195642,20794.44199,4051.072208,12153.21662,1.711023726
"9/10/2023",30,"L6_D_12","L6","Drought","FC1",23621.59142,4466.266049,13398.79815,1.762963451,18351.65369,4404.015238,13212.04571,1.389009249
"9/10/2023",30,"L1_C_8","L1","Control","FC1",28782.50167,5811.21361,17433.64083,1.650974799,23361.35649,5296.963663,15890.89099,1.470109921
"9/10/2023",30,"L1_C_9","L1","Control","FC1",29070.64944,5606.472256,16819.41677,1.728398187,24152.4562,5077.984483,15233.95345,1.585435867
"9/10/2023",30,"L8_C_2","L8","Control","FC1",24597.97488,5020.841131,15062.52339,1.633058037,19136.02592,4331.269534,12993.8086,1.472703386
"9/10/2023",30,"L3_C_8","L3","Control","FC1",25420.55922,5176.653269,15529.95981,1.636872184,20182.15415,4408.743329,13226.22999,1.525918887
"9/10/2023",30,"L7_D_14","L7","Drought","FC1",21718.75275,4139.103111,12417.30933,1.749070766,16274.46629,3517.974619,10553.92386,1.542029913
"9/10/2023",30,"L8_C_18","L8","Control","FC1",25137.29284,4856.090406,14568.27122,1.725482211,19560.06417,4114.682189,12344.04657,1.584574723
"9/10/2023",30,"L9_D_11","L9","Drought","FC1",25538.95445,4941.398055,14824.19416,1.722788717,20012.00809,4079.536806,12238.61042,1.635153617
"9/10/2023",30,"L9_C_5","L9","Control","FC1",23407.5472,4762.047367,14286.1421,1.638479237,17785.77442,3826.486314,11479.45894,1.549356508
"9/10/2023",30,"L9_D_18","L9","Drought","FC1",22519.42126,4516.457282,13549.37185,1.662026957,17240.70341,3611.411082,10834.23325,1.591317357
"9/10/2023",30,"L6_D_2","L6","Drought","FC1",22452.04523,4605.861572,13817.58472,1.624889276,16341.28218,3537.188411,10611.56523,1.539950217
"9/10/2023",30,"L8_C_10","L8","Control","FC1",21404.98697,4358.382552,13075.14766,1.637074206,15862.70781,3361.842621,10085.52786,1.572818798
"9/10/2023",30,"L6_C_13","L6","Control","FC1",25369.37535,4592.721208,13778.16362,1.841274066,19705.81819,4614.041678,13842.12503,1.423612208
"9/10/2023",30,"L2_C_9","L2","Control","FC1",23702.36127,4844.292099,14532.8763,1.630947707,18077.39424,4452.796952,13358.39086,1.353261365
"9/10/2023",30,"L6_C_16","L6","Control","FC1",24225.39874,4451.184298,13353.5529,1.814153801,18447.97855,3689.873919,11069.62176,1.666541003
"9/10/2023",30,"L6_C_14","L6","Control","FC1",26432.38999,5051.9439,15155.8317,1.744040875,20075.58057,4102.624408,12307.87322,1.631116945
