"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","FC1_Plant_HL.LL_Fm_Lss1","FC1_Plant_HL.LL_Fm_Lss2","FC1_Plant_HL.LL_Ft_Lss1","FC1_Plant_HL.LL_Ft_Lss2","FC1_Plant_HL.LL_Fq_Lss1","FC1_Plant_HL.LL_Fq_Lss2","FC1_Plant_HL.LL_QY_Lss1","FC1_Plant_HL.LL_QY_Lss2","FC1_Plant_HL.LL_QY_Lss2.Lss1"
"9/4/2023",24,"L8_D_20","L8","Drought","FC1",4700.925593,4575.162225,2313.430284,1805.535228,2387.495309,2769.626997,0.507877707,0.605361485,"1.191943408"
"9/4/2023",24,"L6_C_3","L6","Control","FC1",7280.129089,7269.57818,3833.723333,3077.462576,3446.405756,4192.115605,0.47339899,0.576665592,"1.21813862"
"9/4/2023",24,"L7_D_4","L7","Drought","FC1",7476.157982,7306.872042,3772.736967,3011.19455,3703.421015,4295.677493,0.4953642,0.587895541,"1.186794567"
"9/4/2023",24,"L7_D_17","L7","Drought","FC1",4841.126434,4796.446592,2464.825431,2001.751257,2376.301003,2794.695335,0.490857042,0.582659534,"1.187024904"
"9/4/2023",24,"L9_D_9","L9","Drought","FC1",6044.71946,5937.878949,3028.658597,2421.516414,3016.060864,3516.362535,0.498957956,0.592191684,"1.186856884"
"9/4/2023",24,"L3_C_8","L3","Control","FC1",8211.919574,8016.554221,4153.185654,3292.401561,4058.733919,4724.152661,0.494249107,0.589299658,"1.192313044"
"9/4/2023",24,"L5_C_2","L5","Control","FC1",7489.174411,7416.96563,3732.176657,3022.604757,3756.997754,4394.360873,0.501657132,0.592474213,"1.181034167"
"9/4/2023",24,"L6_C_12","L6","Control","FC1",6904.701147,6732.096645,3576.014163,2854.320889,3328.686983,3877.775755,0.482089943,0.576013085,"1.194824935"
"9/4/2023",24,"L8_C_18","L8","Control","FC1",7708.112789,7341.086539,3857.351874,3147.242521,3850.760915,4193.844019,0.499572466,0.571283828,"1.143545465"
"9/4/2023",24,"L7_D_2","L7","Drought","FC1",6878.424891,6708.340855,3473.176114,2814.044839,3405.248777,3894.296016,0.49506229,0.580515525,"1.172611078"
"9/4/2023",24,"L6_C_7","L6","Control","FC1",5971.969123,6009.950747,3085.342867,2515.575035,2886.626255,3494.375712,0.483362555,0.581431672,"1.202889354"
"9/4/2023",24,"L9_C_19","L9","Control","FC1",6486.119916,6416.923913,3159.934257,2608.866673,3326.18566,3808.05724,0.512815937,0.593439675,"1.157217693"
"9/4/2023",24,"L7_C_1","L7","Control","FC1",6329.42217,6120.021769,3199.372091,2573.611768,3130.050079,3546.410001,0.494523828,0.579476697,"1.171787211"
"9/4/2023",24,"L7_C_8","L7","Control","FC1",5936.852851,5908.333484,3077.135698,2441.160811,2859.717153,3467.172673,0.481689074,0.586827518,"1.218270352"
"9/4/2023",24,"L6_C_13","L6","Control","FC1",6175.611575,6016.228458,3171.165201,2686.877582,3004.446374,3329.350875,0.486501837,0.553395021,"1.137498319"
"9/4/2023",24,"L9_C_20","L9","Control","FC1",6363.163874,6257.042018,3261.73572,2630.385091,3101.428154,3626.656927,0.48740347,0.579612046,"1.189183257"
"9/4/2023",24,"L8_D_13","L8","Drought","FC1",6709.920497,6696.356737,3574.820106,2965.392705,3135.100391,3730.964032,0.467233612,0.557163272,"1.192472583"
"9/4/2023",24,"L9_D_13","L9","Drought","FC1",6634.334474,6623.080151,3427.220701,2785.960693,3207.113773,3837.119459,0.483411529,0.579355733,"1.19847314"
"9/4/2023",24,"L1_C_1","L1","Control","FC1",4917.684908,4946.153821,2587.50346,2084.673168,2330.181448,2861.480653,0.473837078,0.578526418,"1.220939527"
"9/4/2023",24,"L9_D_1","L9","Drought","FC1",5746.578531,5444.136769,3033.45934,2440.068921,2713.119191,3004.067848,0.47212775,0.551798747,"1.168748813"
"9/4/2023",24,"L1_C_5","L1","Control","FC1",6551.954447,6429.867496,3287.195209,2620.327196,3264.759239,3809.5403,0.498287841,0.592475708,"1.189023009"
"9/4/2023",24,"L8_D_8","L8","Drought","FC1",7140.29171,6906.664964,3683.176764,2957.295845,3457.114946,3949.369119,0.484169987,0.571819994,"1.181031475"
"9/4/2023",24,"L7_D_11","L7","Drought","FC1",7190.489668,6913.574765,3672.472107,2954.257281,3518.017561,3959.317484,0.489259803,0.572687447,"1.170518083"
"9/4/2023",24,"L9_D_2","L9","Drought","FC1",6148.810785,5954.419941,3208.220208,2537.426066,2940.590577,3416.993876,0.478237285,0.573858396,"1.199944909"
"9/4/2023",24,"L8_D_11","L8","Drought","FC1",5932.758964,5681.458454,2976.574128,2331.10556,2956.184836,3350.352895,0.498281635,0.589699445,"1.183466143"
"9/4/2023",24,"L7_C_13","L7","Control","FC1",5683.696592,5410.602013,2841.867499,2293.723476,2841.829093,3116.878537,0.499996621,0.576068713,"1.152145211"
"9/4/2023",24,"L5_C_8","L5","Control","FC1",8345.307666,8170.783862,4248.841926,3479.410645,4096.46574,4691.373218,0.490870547,0.5741644,"1.169685987"
"9/4/2023",24,"L9_D_5","L9","Drought","FC1",5197.395216,5079.356436,2666.293069,2072.747649,2531.102147,3006.608787,0.486994358,0.591927112,"1.215470164"
"9/4/2023",24,"L7_C_7","L7","Control","FC1",7564.812459,7508.468963,4014.420701,3253.714116,3550.391758,4254.754846,0.469329779,0.566660776,"1.207382956"
"9/4/2023",24,"L7_C_17","L7","Control","FC1",6954.016873,6835.858397,3646.193288,2906.299025,3307.823584,3929.559372,0.475670917,0.574845051,"1.208493163"
"9/4/2023",24,"L6_D_6","L6","Drought","FC1",7354.521822,7165.302143,3915.970969,3168.709412,3438.550853,3996.592732,0.467542409,0.557770301,"1.19298333"
"9/4/2023",24,"L3_D_4","L3","Drought","FC1",7924.532098,7607.781277,4074.005665,3293.1625,3850.526433,4314.618777,0.485899531,0.567132337,"1.167180252"
"9/4/2023",24,"L3_D_7","L3","Drought","FC1",7199.95069,6921.430557,3621.464312,2920.349284,3578.486378,4001.081273,0.497015401,0.578071432,"1.163085552"
"9/4/2023",24,"L7_C_20","L7","Control","FC1",6842.501605,6684.228278,3605.304511,2892.453935,3237.197094,3791.774343,0.473101401,0.56727182,"1.199049124"
"9/4/2023",24,"L8_D_15","L8","Drought","FC1",7817.008873,7655.482446,4108.445836,3286.982541,3708.563037,4368.499905,0.474422263,0.570636787,"1.202803561"
"9/4/2023",24,"L9_D_14","L9","Drought","FC1",6774.678175,6576.912159,3434.240382,2671.895257,3340.437793,3905.016902,0.493076971,0.593746246,"1.204165436"
"9/4/2023",24,"L1_D_19","L1","Drought","FC1",7075.652439,7021.484945,3642.99179,2862.396962,3432.660649,4159.087983,0.485136979,0.592337378,"1.220969342"
"9/4/2023",24,"L9_D_4","L9","Drought","FC1",7225.051003,7042.983562,3814.150698,3046.665255,3410.900305,3996.318307,0.472093595,0.567418378,"1.201919245"
"9/4/2023",24,"L7_C_16","L7","Control","FC1",6960.827095,6726.925775,3558.12412,2833.870508,3402.702975,3893.055268,0.488836015,0.578727252,"1.183888328"
"9/4/2023",24,"L1_D_20","L1","Drought","FC1",6986.464492,6945.09034,3619.108573,2883.962931,3367.35592,4061.127408,0.481982829,0.58474796,"1.213213262"
"9/4/2023",24,"L6_C_11","L6","Control","FC1",6785.085868,6586.092713,3540.654072,2807.25264,3244.431796,3778.840074,0.478171074,0.573760534,"1.199906405"
"9/4/2023",24,"L2_C_2","L2","Control","FC1",6591.658475,6382.79147,3367.679147,2692.976335,3223.979329,3689.815135,0.489099874,0.578087997,"1.181942642"
"9/4/2023",24,"L2_D_8","L2","Drought","FC1",5644.688212,5468.492636,2897.476583,2296.936346,2747.211629,3171.556291,0.486689703,0.579969016,"1.191660748"
"9/4/2023",24,"L3_D_9","L3","Drought","FC1",8034.652955,7952.559888,4227.53373,3377.723551,3807.119225,4574.836337,0.47383742,0.575265877,"1.214057507"
"9/4/2023",24,"L8_C_20","L8","Control","FC1",6311.130747,5980.715407,3219.532689,2535.440135,3091.598059,3445.275272,0.489864365,0.576064072,"1.175966477"
"9/4/2023",24,"L6_C_1","L6","Control","FC1",6503.940289,6182.471481,3360.738732,2641.926471,3143.201557,3540.545011,0.483276509,0.572674702,"1.184983526"
"9/4/2023",24,"L1_C_16","L1","Control","FC1",8001.589611,7886.513229,4224.301182,3406.398086,3777.288429,4480.115143,0.472067253,0.568072989,"1.203373005"
"9/4/2023",24,"L9_D_16","L9","Drought","FC1",6603.76024,6375.742529,3427.305883,2676.027204,3176.454357,3699.715325,0.481006917,0.580279914,"1.206385798"
"9/4/2023",24,"L5_D_6","L5","Drought","FC1",8295.122283,8281.152966,4252.120737,3361.322363,4043.001546,4919.830603,0.487395051,0.594099713,"1.21892849"
"9/4/2023",24,"L8_C_17","L8","Control","FC1",6168.322228,6073.959211,3224.19872,2478.110975,2944.123508,3595.848236,0.477297294,0.5920106,"1.240339317"
"9/4/2023",24,"L8_D_7","L8","Drought","FC1",7143.549291,6865.677199,3653.770508,2882.894058,3489.778783,3982.783141,0.488521691,0.580100553,"1.187461198"
"9/4/2023",24,"L2_C_8","L2","Control","FC1",6361.936717,6277.24748,3335.277262,2655.191161,3026.659455,3622.056319,0.47574498,0.577013465,"1.212862961"
"9/4/2023",24,"L7_C_9","L7","Control","FC1",6559.394105,6497.706626,3447.6501,2756.331793,3111.744005,3741.374833,0.474395036,0.575799286,"1.21375487"
"9/4/2023",24,"L7_C_15","L7","Control","FC1",6579.518394,6398.604566,3384.778289,2665.141214,3194.740106,3733.463352,0.485558352,0.583480869,"1.201669927"
"9/4/2023",24,"L8_C_2","L8","Control","FC1",6766.863451,6530.201448,3521.023373,2816.788795,3245.840078,3713.412653,0.47966685,0.568652083,"1.185514659"
"9/4/2023",24,"L1_C_17","L1","Control","FC1",7604.931988,7393.468635,3883.439816,3149.160399,3721.492172,4244.308236,0.489352459,0.574061844,"1.173105055"
"9/4/2023",24,"L5_C_9","L5","Control","FC1",7920.127733,7409.684252,4244.954603,3231.413664,3675.173129,4178.270587,0.464029527,0.563893203,"1.215209744"
"9/4/2023",24,"L9_C_6","L9","Control","FC1",7013.500767,6823.987615,3582.635834,2767.552015,3430.864933,4056.4356,0.489180089,0.594437714,"1.215171523"
"9/4/2023",24,"L5_D_9","L5","Drought","FC1",7343.173866,7178.448819,3787.8041,2980.595439,3555.369766,4197.853381,0.484173442,0.584785583,"1.207801859"
"9/4/2023",24,"L1_C_20","L1","Control","FC1",8010.236357,7799.926004,4150.015388,3316.524313,3860.220969,4483.401691,0.481910995,0.574800542,"1.192752496"
"9/4/2023",24,"L7_D_3","L7","Drought","FC1",6694.489624,6605.563132,3506.413825,2796.486315,3188.075798,3809.076816,0.476223876,0.576646796,"1.210873341"
