"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","FC1_Plant_HL.ind_Fo","FC1_Plant_HL.ind_Fm","FC1_Plant_HL.ind_Fv","FC1_Plant_HL.ind_QY_max","FC1_Plant_HL.ind_Fp","FC1_Plant_HL.ind_Fm_L1","FC1_Plant_HL.ind_Fm_L2","FC1_Plant_HL.ind_Fm_Lss","FC1_Plant_HL.ind_Ft_L1","FC1_Plant_HL.ind_Ft_L2","FC1_Plant_HL.ind_Ft_Lss","FC1_Plant_HL.ind_Fo_L1","FC1_Plant_HL.ind_Fo_L2","FC1_Plant_HL.ind_Fo_Lss","FC1_Plant_HL.ind_Fv_L1","FC1_Plant_HL.ind_Fv_L2","FC1_Plant_HL.ind_Fv_Lss","FC1_Plant_HL.ind_Fq_L1","FC1_Plant_HL.ind_Fq_L2","FC1_Plant_HL.ind_Fq_Lss","FC1_Plant_HL.ind_FvFm_L1","FC1_Plant_HL.ind_FvFm_L2","FC1_Plant_HL.ind_FvFm_Lss","FC1_Plant_HL.ind_QY_L1","FC1_Plant_HL.ind_QY_L2","FC1_Plant_HL.ind_QY_Lss","FC1_Plant_HL.ind_NPQ_L1","FC1_Plant_HL.ind_NPQ_L2","FC1_Plant_HL.ind_NPQ_Lss","FC1_Plant_HL.ind_qN_L1","FC1_Plant_HL.ind_qN_L2","FC1_Plant_HL.ind_qN_Lss","FC1_Plant_HL.ind_qP_L1","FC1_Plant_HL.ind_qP_L2","FC1_Plant_HL.ind_qP_Lss","FC1_Plant_HL.ind_qL_L1","FC1_Plant_HL.ind_qL_L2","FC1_Plant_HL.ind_qL_Lss","FC1_Plant_HL.ind_Rfd_L1","FC1_Plant_HL.ind_Rfd_L2","FC1_Plant_HL.ind_Rfd_Lss"
"9/6/2023",26,"L8_D_20","L8","Drought","FC1",1524.960475,8822.673243,7297.712766,0.827154374,8480.113732,6765.510925,5136.760879,4212.996459,5890.588549,4240.251818,3327.145114,1481.457372,1460.051343,1976.039566,5284.053557,3676.709539,2236.956892,874.9223765,896.5090608,885.8513445,0.781028013,0.7157642,0.530965766,0.129320961,0.174528089,0.21026634,0.30406607,0.717555762,1.09415634,0.280220927,0.500624969,0.673276387,0.165577878,0.243834617,0.396007338,0.042864939,0.087692469,0.181505621,0.439603812,0.999908047,1.548765816
"9/6/2023",26,"L6_C_3","L6","Control","FC1",1724.084748,10356.41757,8632.332818,0.833524987,9693.529075,8026.719656,6018.615144,4670.843959,7125.208151,5080.605398,3854.411892,1709.794757,1613.388026,2356.060779,6316.9249,4405.227114,2314.783181,901.5115046,938.0097466,816.4320678,0.786987109,0.731933677,0.495581356,0.112313815,0.155851425,0.174793265,0.290242841,0.720730986,1.217247603,0.269434433,0.496144089,0.710665007,0.142713665,0.212931075,0.352703473,0.034532388,0.072257377,0.157764841,0.360455564,0.907947639,1.5149178
"9/6/2023",26,"L7_D_4","L7","Drought","FC1",1711.528924,10916.84231,9205.313384,0.843221247,9756.220626,8125.815897,6106.920836,4765.827179,7157.720615,5103.990094,3835.996153,1619.567203,1509.75706,2342.043654,6506.248701,4597.163776,2423.783525,968.0952828,1002.930741,929.831026,0.800688667,0.75277933,0.508575623,0.119138225,0.164228548,0.195103807,0.343476451,0.787618114,1.290650059,0.300198325,0.511308375,0.717336392,0.148794694,0.218162935,0.383627917,0.035579263,0.073156916,0.17116552,0.363034568,0.911488942,1.543334309
"9/6/2023",26,"L7_D_17","L7","Drought","FC1",1404.789688,8851.599597,7446.809911,0.841295387,7794.773245,6328.133645,4617.461586,3608.42901,5540.972812,3833.812107,2852.223805,1317.945136,1211.583425,1816.677119,5010.188515,3405.878161,1791.751892,787.1608331,783.6494786,756.2052058,0.791732412,0.737608337,0.49654625,0.124390678,0.169714347,0.209566325,0.398769383,0.916983917,1.453034152,0.334959078,0.554205373,0.745306093,0.157112019,0.230087349,0.422047946,0.039832237,0.084308862,0.207868892,0.406751758,1.03316517,1.732875741
"9/6/2023",26,"L9_D_9","L9","Drought","FC1",1369.729673,9196.662603,7826.932932,0.851062311,7440.845572,5692.511948,4330.018501,3603.387008,4910.145216,3509.73071,2818.425993,1270.524527,1147.206643,1702.639676,4421.987423,3182.811855,1900.74733,782.3667325,820.2877906,784.9610151,0.776807754,0.735057334,0.527489089,0.137437873,0.189442098,0.217839775,0.615571946,1.12393148,1.552227275,0.442100632,0.604592922,0.74636489,0.176926494,0.257724248,0.41297494,0.049355255,0.100581093,0.200702105,0.515402345,1.120061676,1.640071299
"9/6/2023",26,"L3_C_8","L3","Control","FC1",1770.963098,10479.90894,8708.945845,0.831013504,9120.14936,7883.046531,5863.231169,4757.340486,6869.986778,4796.221193,3695.736546,1661.285131,1543.344835,2341.708061,6221.761399,4319.886334,2415.632425,1013.059753,1067.009977,1061.60394,0.78925849,0.736775714,0.507769505,0.128511198,0.181983269,0.223150717,0.329423707,0.787394806,1.202892345,0.294474792,0.516605455,0.703173655,0.162825234,0.246999549,0.439472467,0.041973513,0.091202442,0.21059118,0.327535213,0.901528098,1.467748782
"9/6/2023",26,"L5_C_2","L5","Control","FC1",1775.472957,10392.88287,8617.409913,0.829164537,9074.709314,7694.044027,5587.631798,4489.520448,6815.707775,4668.288929,3592.125362,1724.582571,1561.095367,2292.652937,5969.461453,4026.536429,2196.867511,878.3362515,919.3428686,897.3950859,0.77585486,0.72061592,0.489332332,0.114157945,0.164531755,0.199886624,0.350769872,0.859979906,1.314920488,0.311345794,0.544085902,0.728789487,0.147138273,0.228321011,0.408488487,0.038329112,0.086836481,0.201902826,0.331440492,0.943904812,1.526278567
"9/6/2023",26,"L6_C_12","L6","Control","FC1",1820.721638,11145.7864,9325.06476,0.836644848,10016.72208,8641.854595,6506.913417,5181.942506,7600.022936,5417.883074,4165.901528,1769.411478,1646.857755,2514.540575,6872.44312,4860.05566,2667.401931,1041.831659,1089.030342,1016.040978,0.795250955,0.746906459,0.514749426,0.12055649,0.16736512,0.196073379,0.289744727,0.712914508,1.150889629,0.267046894,0.488357493,0.6909598,0.15159553,0.224077751,0.380910341,0.036317425,0.075303067,0.166478179,0.31798577,0.848825813,1.404454837
"9/6/2023",26,"L8_C_18","L8","Control","FC1",1657.859461,9895.130986,8237.271522,0.832457047,8813.5118,7865.197267,5811.614511,4646.019831,6786.14753,4726.401369,3628.184021,1307.567073,1495.112987,2341.517072,6557.6302,4316.501523,2304.502759,1079.049737,1085.213142,1017.835809,0.833752794,0.742737068,0.496016557,0.137192965,0.186731783,0.21907694,0.25809063,0.702647512,1.129808168,0.236380624,0.486131872,0.69491388,0.164548732,0.251410346,0.441672637,0.040199343,0.088186125,0.201817536,0.298750397,0.864740447,1.429179928
"9/6/2023",26,"L7_D_2","L7","Drought","FC1",1643.235718,9868.707183,8225.471468,0.833490275,8264.475806,7213.415066,5417.295579,4442.690427,6194.942109,4250.572921,3311.277431,1530.473707,1427.591982,2074.725418,5682.941357,3989.703599,2367.965008,1018.472958,1166.722658,1131.412996,0.787829524,0.736475155,0.533002478,0.141191509,0.215369946,0.25466843,0.368104718,0.82170366,1.221335775,0.318447801,0.527348756,0.696180325,0.179215813,0.292433417,0.477799711,0.047537785,0.113052298,0.237110169,0.334068287,0.944320438,1.495857257
