"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB1_Plant_Avg_AREA_MM","RGB1_Plant_Avg_WIDTH_MM","RGB1_Plant_Avg_HEIGHT_MM"
"9/4/2023",24,"L3_C_1","L3","Control","RGB1",3762.608613,225.7693763,236.1128527
"9/4/2023",24,"L3_C_2","L3","Control","RGB1",3231.884224,202.0977992,289.9409613
"9/4/2023",24,"L3_C_3","L3","Control","RGB1",3833.569299,254.3668306,251.5726228
"9/4/2023",24,"L3_C_4","L3","Control","RGB1",3221.884345,207.0236765,255.9294671
"9/4/2023",24,"L3_C_5","L3","Control","RGB1",3294.845006,252.8617014,285.7246604
"9/4/2023",24,"L3_C_6","L3","Control","RGB1",4389.40877,383.3974499,234.9885057
"9/4/2023",24,"L3_C_7","L3","Control","RGB1",4303.448265,273.65985,324.2335423
"9/4/2023",24,"L3_C_8","L3","Control","RGB1",3990.298184,306.499032,250.0266458
"9/4/2023",24,"L3_C_9","L3","Control","RGB1",3737.031998,236.9894301,313.8333333
"9/4/2023",24,"L3_D_1","L3","Drought","RGB1",4507.291969,261.4819867,285.1624869
"9/4/2023",24,"L3_D_2","L3","Drought","RGB1",3450.266214,203.8765883,276.5893417
"9/4/2023",24,"L3_D_3","L3","Drought","RGB1",3695.570958,197.9929015,289.9409613
"9/4/2023",24,"L3_D_4","L3","Drought","RGB1",4522.945627,240.820668,333.9310345
"9/4/2023",24,"L3_D_5","L3","Drought","RGB1",3536.034414,216.8754311,280.946186
"9/4/2023",24,"L3_D_6","L3","Drought","RGB1",3263.383846,226.5903558,280.6650993
"9/4/2023",24,"L3_D_7","L3","Drought","RGB1",4766.596544,195.9404526,295.7032393
"9/4/2023",24,"L3_D_8","L3","Drought","RGB1",3520.803828,268.7339727,279.8218391
"9/4/2023",24,"L3_D_9","L3","Drought","RGB1",3522.573037,204.0134182,224.0261233
"9/4/2023",24,"L1_C_1","L1","Control","RGB1",3349.498195,221.5276486,289.800418
"9/4/2023",24,"L1_C_10","L1","Control","RGB1",2172.820033,172.8161953,275.7460815
"9/4/2023",24,"L1_C_11","L1","Control","RGB1",2234.626982,120.9576537,315.6603971
"9/4/2023",24,"L1_C_12","L1","Control","RGB1",2706.121314,247.9358241,288.9571578
"9/4/2023",24,"L1_C_13","L1","Control","RGB1",5239.244708,292.8160395,385.0888192
"9/4/2023",24,"L1_C_14","L1","Control","RGB1",5173.55319,334.9596564,266.8918495
"9/4/2023",24,"L1_C_15","L1","Control","RGB1",2588.238116,216.8754311,261.5512017
"9/4/2023",24,"L1_C_16","L1","Control","RGB1",3669.378965,249.7146131,276.729885
"9/4/2023",24,"L1_C_17","L1","Control","RGB1",3937.221899,356.4419546,276.308255
"9/4/2023",24,"L1_C_18","L1","Control","RGB1",1994.322179,203.4660985,254.8051202
"9/4/2023",24,"L1_C_19","L1","Control","RGB1",2295.587788,242.0521373,271.5297806
"9/4/2023",24,"L1_C_2","L1","Control","RGB1",4758.019724,249.1672934,277.5731452
"9/4/2023",24,"L1_C_20","L1","Control","RGB1",3225.961219,205.5185474,317.6280042
"9/4/2023",24,"L1_C_3","L1","Control","RGB1",4688.020565,243.8309264,307.0872518
"9/4/2023",24,"L1_C_4","L1","Control","RGB1",3568.803251,279.133047,278.6974922
"9/4/2023",24,"L1_C_5","L1","Control","RGB1",2737.890163,144.081911,259.3025078
"9/4/2023",24,"L1_C_6","L1","Control","RGB1",2766.620587,200.1821803,305.9629049
"9/4/2023",24,"L1_C_7","L1","Control","RGB1",3501.880978,278.8593872,286.9895507
"9/4/2023",24,"L1_C_8","L1","Control","RGB1",2644.775898,186.6360177,308.0710554
"9/4/2023",24,"L1_C_9","L1","Control","RGB1",3919.991337,329.4864594,273.7784744
"9/4/2023",24,"L1_D_1","L1","Drought","RGB1",3782.646834,234.1160017,340.2554859
"9/4/2023",24,"L1_D_10","L1","Drought","RGB1",4019.682446,230.6952536,280.8056426
"9/4/2023",24,"L1_D_11","L1","Drought","RGB1",3780.531475,200.3190102,270.2648903
"9/4/2023",24,"L1_D_12","L1","Drought","RGB1",2626.737653,189.5094461,281.5083594
"9/4/2023",24,"L1_D_13","L1","Drought","RGB1",2470.470301,149.8287679,275.3244514
"9/4/2023",24,"L1_D_14","L1","Drought","RGB1",3458.496885,248.8936336,349.3908046
"9/4/2023",24,"L1_D_15","L1","Drought","RGB1",3265.306899,224.5379069,270.4054336
"9/4/2023",24,"L1_D_16","L1","Drought","RGB1",2295.780093,231.3794032,255.9294671
"9/4/2023",24,"L1_D_17","L1","Drought","RGB1",4360.178353,285.7008834,292.3301985
"9/4/2023",24,"L1_D_18","L1","Drought","RGB1",3559.457209,332.2230579,280.5245559
"9/4/2023",24,"L1_D_19","L1","Drought","RGB1",2799.543268,155.4387948,240.7507837
"9/4/2023",24,"L1_D_2","L1","Drought","RGB1",4075.604851,255.46147,304.5574713
"9/4/2023",24,"L1_D_20","L1","Drought","RGB1",3229.807326,256.8297692,290.3625914
"9/4/2023",24,"L1_D_3","L1","Drought","RGB1",3184.615562,212.9073633,248.199582
"9/4/2023",24,"L1_D_4","L1","Drought","RGB1",3552.495755,224.5379069,294.0167189
"9/4/2023",24,"L1_D_5","L1","Drought","RGB1",4654.290202,372.177396,241.0318704
"9/4/2023",24,"L1_D_6","L1","Drought","RGB1",3284.575899,204.5607379,306.8061651
"9/4/2023",24,"L1_D_7","L1","Drought","RGB1",2504.931425,174.3213245,270.4054336
"9/4/2023",24,"L1_D_8","L1","Drought","RGB1",2627.506875,230.5584236,283.7570533
"9/4/2023",24,"L1_D_9","L1","Drought","RGB1",4035.143799,231.653063,275.183908
"9/4/2023",24,"L2_C_1","L2","Control","RGB1",2794.004873,180.7523309,212.0799373
"9/4/2023",24,"L2_C_2","L2","Control","RGB1",4063.220384,253.9563408,289.9409613
"9/4/2023",24,"L2_C_3","L2","Control","RGB1",3415.497402,290.6267607,232.5992685
"9/4/2023",24,"L2_C_4","L2","Control","RGB1",3128.270085,247.1148446,244.1238244
"9/4/2023",24,"L2_C_5","L2","Control","RGB1",3813.415695,214.1388326,283.4759665
"9/4/2023",24,"L2_C_6","L2","Control","RGB1",3886.837889,239.3155388,296.6870428
"9/4/2023",24,"L2_C_7","L2","Control","RGB1",2848.773445,141.7558023,273.9190178
"9/4/2023",24,"L2_C_8","L2","Control","RGB1",3073.116902,230.0111039,237.5182863
"9/4/2023",24,"L2_C_9","L2","Control","RGB1",3000.771618,156.5334342,287.2706374
"9/4/2023",24,"L2_D_1","L2","Drought","RGB1",3711.493843,204.287078,287.130094
"9/4/2023",24,"L2_D_2","L2","Drought","RGB1",2678.4678,214.4124925,245.9508882
"9/4/2023",24,"L2_D_3","L2","Drought","RGB1",3707.993885,258.0612386,240.3291536
"9/4/2023",24,"L2_D_4","L2","Drought","RGB1",2744.967001,104.2644029,278.8380355
"9/4/2023",24,"L2_D_5","L2","Drought","RGB1",2852.965703,230.8320835,245.5292581
"9/4/2023",24,"L2_D_6","L2","Drought","RGB1",2864.580948,217.0122611,284.4597701
"9/4/2023",24,"L2_D_7","L2","Drought","RGB1",3341.729058,176.2369434,277.1515151
"9/4/2023",24,"L2_D_8","L2","Drought","RGB1",3184.307873,175.9632836,267.454023
"9/4/2023",24,"L2_D_9","L2","Drought","RGB1",2817.889201,245.7465453,200.8364681
"9/4/2023",24,"L5_C_1","L5","Control","RGB1",4347.486198,204.6975678,249.3239289
"9/4/2023",24,"L5_C_2","L5","Control","RGB1",3936.683444,249.3041234,317.0658307
"9/4/2023",24,"L5_C_3","L5","Control","RGB1",5100.707912,194.0248337,283.6165099
"9/4/2023",24,"L5_C_4","L5","Control","RGB1",6226.963603,327.0235208,276.5893417
"9/4/2023",24,"L5_C_5","L5","Control","RGB1",3940.221863,242.736287,291.6274817
"9/4/2023",24,"L5_C_6","L5","Control","RGB1",3916.52984,250.5355927,232.5992685
"9/4/2023",24,"L5_C_7","L5","Control","RGB1",1969.784012,176.3737733,262.3944618
"9/4/2023",24,"L5_C_8","L5","Control","RGB1",3370.305637,298.8365562,266.6107628
"9/4/2023",24,"L5_C_9","L5","Control","RGB1",2207.39654,230.5584236,243.2805643
"9/4/2023",24,"L5_D_1","L5","Drought","RGB1",4385.601124,297.6050869,338.4284221
"9/4/2023",24,"L5_D_2","L5","Drought","RGB1",4281.833141,232.8845324,296.8275862
"9/4/2023",24,"L5_D_3","L5","Drought","RGB1",2849.773433,164.8800596,272.3730407
"9/4/2023",24,"L5_D_4","L5","Drought","RGB1",3455.189232,177.057923,323.5308255
"9/4/2023",24,"L5_D_5","L5","Drought","RGB1",5165.399442,311.972229,255.3672936
"9/4/2023",24,"L5_D_6","L5","Drought","RGB1",5682.700915,259.155878,269.4216301
"9/4/2023",24,"L5_D_7","L5","Drought","RGB1",3267.383798,230.2847638,328.1687565
"9/4/2023",24,"L5_D_8","L5","Drought","RGB1",4670.32847,312.3827188,310.6008359
"9/4/2023",24,"L5_D_9","L5","Drought","RGB1",3146.731402,330.307439,276.0271682
"9/4/2023",24,"L4_C_1","L4","Control","RGB1",3951.683263,328.8023098,252.9780564
"9/4/2023",24,"L4_C_2","L4","Control","RGB1",3907.683792,202.7819489,262.3944618
"9/4/2023",24,"L4_C_3","L4","Control","RGB1",4419.677637,201.9609693,347.2826541
"9/4/2023",24,"L4_C_4","L4","Control","RGB1",3358.575009,225.9062062,310.6008359
"9/4/2023",24,"L4_C_5","L4","Control","RGB1",3522.149966,201.5504795,306.384535
"9/4/2023",24,"L4_C_6","L4","Control","RGB1",3593.687567,270.7864216,295.2816092
"9/4/2023",24,"L4_C_7","L4","Control","RGB1",3537.149785,169.5322771,302.5898641
"9/4/2023",24,"L4_C_8","L4","Control","RGB1",2912.426526,150.7865774,246.5130616
"9/4/2023",24,"L4_C_9","L4","Control","RGB1",3486.227321,169.3954472,286.7084639
"9/4/2023",24,"L4_D_1","L4","Drought","RGB1",3126.116265,267.2288435,297.1086729
"9/4/2023",24,"L4_D_2","L4","Drought","RGB1",4109.52752,231.3794032,296.9681296
"9/4/2023",24,"L4_D_3","L4","Drought","RGB1",4352.601521,181.1628207,318.8928944
"9/4/2023",24,"L4_D_4","L4","Drought","RGB1",3045.771077,213.5915129,273.4973877
"9/4/2023",24,"L4_D_5","L4","Drought","RGB1",2806.504723,120.410334,287.4111808
"9/4/2023",24,"L4_D_6","L4","Drought","RGB1",4480.869209,220.1593493,297.1086729
"9/4/2023",24,"L4_D_7","L4","Drought","RGB1",4033.836122,321.2766639,245.5292581
"9/4/2023",24,"L4_D_8","L4","Drought","RGB1",3749.378003,214.2756626,295.5626959
"9/4/2023",24,"L4_D_9","L4","Drought","RGB1",3203.269184,203.6029284,299.4979101
"9/4/2023",24,"L7_C_1","L7","Control","RGB1",1914.400063,116.1686063,228.1018809
"9/4/2023",24,"L7_C_10","L7","Control","RGB1",2999.810091,148.4604686,280.946186
"9/4/2023",24,"L7_C_11","L7","Control","RGB1",2092.705611,269.1444625,245.2481714
"9/4/2023",24,"L7_C_12","L7","Control","RGB1",3135.616151,321.2766639,249.4644723
"9/4/2023",24,"L7_C_13","L7","Control","RGB1",2655.198849,200.5926701,292.7518286
"9/4/2023",24,"L7_C_14","L7","Control","RGB1",3556.572629,334.1386769,255.9294671
"9/4/2023",24,"L7_C_15","L7","Control","RGB1",2156.166387,181.0259908,245.107628
"9/4/2023",24,"L7_C_16","L7","Control","RGB1",2719.621152,238.2208994,231.7560083
"9/4/2023",24,"L7_C_17","L7","Control","RGB1",2973.387332,290.3531009,255.2267503
"9/4/2023",24,"L7_C_18","L7","Control","RGB1",2245.165317,134.7774761,267.3134796
"9/4/2023",24,"L7_C_19","L7","Control","RGB1",2536.123358,198.950711,220.0909091
"9/4/2023",24,"L7_C_2","L7","Control","RGB1",2649.698915,164.4695699,242.9994775
"9/4/2023",24,"L7_C_20","L7","Control","RGB1",2764.966761,249.8514431,259.7241379
"9/4/2023",24,"L7_C_3","L7","Control","RGB1",3155.923599,315.5298071,237.3777429
"9/4/2023",24,"L7_C_4","L7","Control","RGB1",1585.365557,130.8094083,240.3291536
"9/4/2023",24,"L7_C_5","L7","Control","RGB1",4660.943968,289.6689512,276.8704284
"9/4/2023",24,"L7_C_6","L7","Control","RGB1",2451.50899,201.0031598,267.1729362
"9/4/2023",24,"L7_C_7","L7","Control","RGB1",2974.079631,268.5971428,252.1347962
"9/4/2023",24,"L7_C_8","L7","Control","RGB1",1904.515566,218.2437304,224.30721
"9/4/2023",24,"L7_C_9","L7","Control","RGB1",3606.264339,273.3861902,278.9785789
"9/4/2023",24,"L7_D_1","L7","Drought","RGB1",2422.317034,299.1102161,225.0099268
"9/4/2023",24,"L7_D_10","L7","Drought","RGB1",1706.556407,119.5893545,198.1661442
"9/4/2023",24,"L7_D_11","L7","Drought","RGB1",2526.161939,188.004317,235.2695925
"9/4/2023",24,"L7_D_12","L7","Drought","RGB1",2799.774034,173.6371748,296.2654127
"9/4/2023",24,"L7_D_13","L7","Drought","RGB1",2731.851774,220.1593493,253.2591431
"9/4/2023",24,"L7_D_14","L7","Drought","RGB1",2277.934154,174.4581544,241.8751306
"9/4/2023",24,"L7_D_15","L7","Drought","RGB1",1628.788112,87.84481185,236.1128527
