"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB1.RGB2_Plant_Volume"
"9/4/2023",24,"L1_C_1","L1","Control","RGB1/RGB2",194190.9676
"9/4/2023",24,"L1_C_10","L1","Control","RGB1/RGB2",106955.9919
"9/4/2023",24,"L1_C_11","L1","Control","RGB1/RGB2",110872.615
"9/4/2023",24,"L1_C_12","L1","Control","RGB1/RGB2",174420.609
"9/4/2023",24,"L1_C_13","L1","Control","RGB1/RGB2",432915.5614
"9/4/2023",24,"L1_C_14","L1","Control","RGB1/RGB2",442377.9937
"9/4/2023",24,"L1_C_15","L1","Control","RGB1/RGB2",159107.7465
"9/4/2023",24,"L1_C_16","L1","Control","RGB1/RGB2",272763.6519
"9/4/2023",24,"L1_C_17","L1","Control","RGB1/RGB2",260395.1793
"9/4/2023",24,"L1_C_18","L1","Control","RGB1/RGB2",94105.50005
"9/4/2023",24,"L1_C_19","L1","Control","RGB1/RGB2",109531.5274
"9/4/2023",24,"L1_C_2","L1","Control","RGB1/RGB2",395182.5132
"9/4/2023",24,"L1_C_20","L1","Control","RGB1/RGB2",203200.8138
"9/4/2023",24,"L1_C_3","L1","Control","RGB1/RGB2",353603.1114
"9/4/2023",24,"L1_C_4","L1","Control","RGB1/RGB2",254696.8591
"9/4/2023",24,"L1_C_5","L1","Control","RGB1/RGB2",141774.2102
"9/4/2023",24,"L1_C_6","L1","Control","RGB1/RGB2",134230.937
"9/4/2023",24,"L1_C_7","L1","Control","RGB1/RGB2",188357.7714
"9/4/2023",24,"L1_C_8","L1","Control","RGB1/RGB2",178535.0385
"9/4/2023",24,"L1_C_9","L1","Control","RGB1/RGB2",349769.4716
"9/4/2023",24,"L1_D_1","L1","Drought","RGB1/RGB2",265452.4619
"9/4/2023",24,"L1_D_10","L1","Drought","RGB1/RGB2",296491.2263
"9/4/2023",24,"L1_D_11","L1","Drought","RGB1/RGB2",283211.7903
"9/4/2023",24,"L1_D_12","L1","Drought","RGB1/RGB2",145700.3872
"9/4/2023",24,"L1_D_13","L1","Drought","RGB1/RGB2",118198.3855
"9/4/2023",24,"L1_D_14","L1","Drought","RGB1/RGB2",236018.5396
"9/4/2023",24,"L1_D_15","L1","Drought","RGB1/RGB2",181593.6299
"9/4/2023",24,"L1_D_16","L1","Drought","RGB1/RGB2",126398.1947
"9/4/2023",24,"L1_D_17","L1","Drought","RGB1/RGB2",413174.928
"9/4/2023",24,"L1_D_18","L1","Drought","RGB1/RGB2",217066.9885
"9/4/2023",24,"L1_D_19","L1","Drought","RGB1/RGB2",163461.2689
"9/4/2023",24,"L1_D_2","L1","Drought","RGB1/RGB2",285699.8281
"9/4/2023",24,"L1_D_20","L1","Drought","RGB1/RGB2",219367.817
"9/4/2023",24,"L1_D_3","L1","Drought","RGB1/RGB2",216873.1846
"9/4/2023",24,"L1_D_4","L1","Drought","RGB1/RGB2",212322.836
