"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB2_Plant_AREA_MM","RGB2_Plant_PERIMETER_MM","RGB2_Plant_COMPACTNESS","RGB2_Plant_SOL"
"9/4/2023",24,"L6_C_3","L6","Control","RGB2",2384.45891,1026.574154,0.12284197,86.71322982
"9/4/2023",24,"L8_D_20","L8","Drought","RGB2",2570.458837,853.643009,0.385402358,74.19730822
"9/4/2023",24,"L7_D_17","L7","Drought","RGB2",1044.804715,644.6165055,0.142746784,65.12188235
"9/4/2023",24,"L7_D_4","L7","Drought","RGB2",3573.044442,1263.393591,0.125734413,78.25870647
"9/4/2023",24,"L3_C_8","L3","Control","RGB2",5385.504725,1921.660718,0.069250749,118.4076493
"9/4/2023",24,"L9_D_9","L9","Drought","RGB2",2480.619947,1253.199926,0.090548351,111.1515352
"9/4/2023",24,"L6_C_12","L6","Control","RGB2",3925.764054,1639.555442,0.066590831,125.7295272
"9/4/2023",24,"L5_C_2","L5","Control","RGB2",4805.553564,2024.637241,0.068989922,160.7334007
"9/4/2023",24,"L7_D_2","L7","Drought","RGB2",2521.48166,1183.061901,0.101396679,106.73067
"9/4/2023",24,"L8_C_18","L8","Control","RGB2",3801.128565,1823.047589,0.05567071,153.1034247
"9/4/2023",24,"L9_C_19","L9","Control","RGB2",2877.305823,1362.368036,0.100914087,110.5230016
"9/4/2023",24,"L6_C_7","L6","Control","RGB2",2171.448364,1098.638285,0.093023256,105.1173804
"9/4/2023",24,"L7_C_8","L7","Control","RGB2",2138.60834,1017.077859,0.157688568,112.7432857
"9/4/2023",24,"L7_C_1","L7","Control","RGB2",2709.240084,1300.302616,0.15864824,110.9793567
"9/4/2023",24,"L9_C_20","L9","Control","RGB2",3441.22604,1528.260072,0.067198932,122.1095526
"9/4/2023",24,"L6_C_13","L6","Control","RGB2",6169.015611,2249.060447,0.102927153,176.3157761
"9/4/2023",24,"L9_D_13","L9","Drought","RGB2",4681.045298,1924.017673,0.087114916,169.3497774
"9/4/2023",24,"L8_D_13","L8","Drought","RGB2",6194.14664,2119.721648,0.076074484,127.353531
"9/4/2023",24,"L9_D_1","L9","Drought","RGB2",3798.828746,1489.777294,0.079505047,127.9584794
"9/4/2023",24,"L1_C_1","L1","Control","RGB2",3361.232508,1688.488231,0.083423269,140.7428502
"9/4/2023",24,"L8_D_8","L8","Drought","RGB2",2911.217611,1322.641022,0.085295791,119.7937529
"9/4/2023",24,"L1_C_5","L1","Control","RGB2",2681.405098,1187.462789,0.120081782,102.7757375
"9/4/2023",24,"L9_D_2","L9","Drought","RGB2",3850.218613,1561.971327,0.092388915,117.1238413
"9/4/2023",24,"L7_D_11","L7","Drought","RGB2",3047.963827,1279.77946,0.077563927,103.3227672
"9/4/2023",24,"L7_C_13","L7","Control","RGB2",2982.269585,1533.496782,0.064269877,153.0050788
"9/4/2023",24,"L8_D_11","L8","Drought","RGB2",3796.787689,1706.006008,0.080255779,151.0874618
"9/4/2023",24,"L9_D_5","L9","Drought","RGB2",2855.371382,1452.845453,0.024475511,137.7398571
"9/4/2023",24,"L5_C_8","L5","Control","RGB2",4605.029379,1630.964251,0.115724148,120.5637379
"9/4/2023",24,"L7_C_17","L7","Control","RGB2",3253.546128,1349.199601,0.102226763,101.3165817
"9/4/2023",24,"L7_C_7","L7","Control","RGB2",3626.612339,1434.130574,0.129917179,119.4923882
"9/4/2023",24,"L3_D_4","L3","Drought","RGB2",5435.390487,1686.807741,0.096016356,107.6875727
"9/4/2023",24,"L6_D_6","L6","Drought","RGB2",3560.585723,1424.809292,0.119150056,115.2482373
"9/4/2023",24,"L7_C_20","L7","Control","RGB2",3271.120136,1470.299126,0.078647326,121.6635733
"9/4/2023",24,"L3_D_7","L3","Drought","RGB2",5385.684209,1937.025868,0.137124514,158.0517189
"9/4/2023",24,"L9_D_14","L9","Drought","RGB2",4409.216151,1832.621103,0.110127494,149.2831757
"9/4/2023",24,"L8_D_15","L8","Drought","RGB2",4282.145318,1407.328189,0.078148918,103.1288041
"9/4/2023",24,"L9_D_4","L9","Drought","RGB2",4455.294453,1474.197603,0.123097345,113.2707775
"9/4/2023",24,"L1_D_19","L1","Drought","RGB2",3409.222637,1535.189675,0.147779964,132.6578947
"9/4/2023",24,"L1_D_20","L1","Drought","RGB2",4613.097103,1515.286028,0.118290579,92.76028575
"9/4/2023",24,"L7_C_16","L7","Control","RGB2",3288.615907,1463.890561,0.090069974,121.4722212
"9/4/2023",24,"L2_C_2","L2","Control","RGB2",4144.398786,1537.576522,0.073392545,131.5063095
"9/4/2023",24,"L6_C_11","L6","Control","RGB2",3954.782968,1636.480158,0.082457917,128.6544423
"9/4/2023",24,"L3_D_9","L3","Drought","RGB2",5042.662731,1609.321253,0.13318041,116.4442433
"9/4/2023",24,"L2_D_8","L2","Drought","RGB2",3791.146466,1239.358328,0.113431798,106.2094139
"9/4/2023",24,"L6_C_1","L6","Control","RGB2",3276.589779,1313.357359,0.088934581,104.0497872
"9/4/2023",24,"L8_C_20","L8","Control","RGB2",2821.652203,1194.290266,0.06534799,111.6706567
"9/4/2023",24,"L9_D_16","L9","Drought","RGB2",3173.487004,1427.270325,0.139714647,131.5067649
"9/4/2023",24,"L1_C_16","L1","Control","RGB2",5525.707076,1970.569786,0.094753058,121.9599109
"9/4/2023",24,"L8_C_17","L8","Control","RGB2",3410.299792,1296.280622,0.102346705,110.3971711
"9/4/2023",24,"L5_D_6","L5","Drought","RGB2",7061.035932,2526.444771,0.081415974,164.3279949
"9/4/2023",24,"L2_C_8","L2","Control","RGB2",4023.631769,1539.679441,0.092301786,107.9662507
"9/4/2023",24,"L8_D_7","L8","Drought","RGB2",3453.669478,1506.208416,0.088019739,136.2404482
"9/4/2023",24,"L7_C_15","L7","Control","RGB2",2510.997053,1199.529519,0.087105046,107.9302854
"9/4/2023",24,"L7_C_9","L7","Control","RGB2",4446.819948,2041.069997,0.074439643,155.396802
"9/4/2023",24,"L1_C_17","L1","Control","RGB2",4374.073693,1577.130652,0.198884585,106.1851007
"9/4/2023",24,"L8_C_2","L8","Control","RGB2",2638.537653,1310.620747,0.051998629,134.1325386
"9/4/2023",24,"L9_C_6","L9","Control","RGB2",4812.698093,1867.229828,0.103435886,132.6859654
"9/4/2023",24,"L5_C_9","L5","Control","RGB2",3306.240058,1541.149283,0.085888479,128.7093112
"9/4/2023",24,"L1_C_20","L1","Control","RGB2",3967.643121,1653.065795,0.096289155,130.0104441
"9/4/2023",24,"L5_D_9","L5","Drought","RGB2",4471.159861,2033.331882,0.080878588,166.4593859
"9/4/2023",24,"L8_D_16","L8","Drought","RGB2",3688.577791,1743.353779,0.11585292,163.9129542
"9/4/2023",24,"L7_D_3","L7","Drought","RGB2",3010.052883,1326.38826,0.076703618,112.4665543
"9/4/2023",24,"L1_C_9","L1","Control","RGB2",7961.475949,1999.292063,0.096632477,102.0875599
"9/4/2023",24,"L9_D_3","L9","Drought","RGB2",2966.265839,1375.555902,0.118372584,129.0895033
"9/4/2023",24,"L6_C_5","L6","Control","RGB2",1201.894176,526.1218288,0.159766021,44.54898752
