"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","SWIR_Plant_WATER","SWIR_Plant_LWVI2"
"9/10/2023",30,"L8_C_17","L8","Control","SWIR",0.40332457,0.017096138
"9/10/2023",30,"L8_C_4","L8","Control","SWIR",0.40140226,0.01497019
"9/10/2023",30,"L6_D_12","L6","Drought","SWIR",0.4089983,0.018858485
"9/10/2023",30,"L1_C_8","L1","Control","SWIR",0.39289442,0.016807498
"9/10/2023",30,"L1_C_9","L1","Control","SWIR",0.36568102,0.017095916
"9/10/2023",30,"L8_C_2","L8","Control","SWIR",0.42163414,0.020215968
"9/10/2023",30,"L3_C_8","L3","Control","SWIR",0.40239492,0.017664367
"9/10/2023",30,"L7_D_14","L7","Drought","SWIR",0.4571628,0.014213673
"9/10/2023",30,"L8_C_18","L8","Control","SWIR",0.4255677,0.017819514
"9/10/2023",30,"L9_D_11","L9","Drought","SWIR",0.3867982,0.01902553
"9/10/2023",30,"L9_C_5","L9","Control","SWIR",0.43062112,0.01700514
"9/10/2023",30,"L9_D_18","L9","Drought","SWIR",0.4581442,0.014508674
"9/10/2023",30,"L6_D_2","L6","Drought","SWIR",0.43596694,0.017190136
"9/10/2023",30,"L8_C_10","L8","Control","SWIR",0.47697183,0.013003998
"9/10/2023",30,"L6_C_13","L6","Control","SWIR",0.39408156,0.022592532
"9/10/2023",30,"L2_C_9","L2","Control","SWIR",0.41938558,0.020697288
"9/10/2023",30,"L6_C_16","L6","Control","SWIR",0.35402262,0.026835352
"9/10/2023",30,"L6_C_17","L6","Control","SWIR",0.39120448,0.01993857
"9/10/2023",30,"L6_C_14","L6","Control","SWIR",0.36983424,0.021311363
"9/10/2023",30,"L2_D_7","L2","Drought","SWIR",0.39473888,0.021687392
"9/10/2023",30,"L1_D_3","L1","Drought","SWIR",0.4354017,0.01957967
"9/10/2023",30,"L9_D_20","L9","Drought","SWIR",0.38355017,0.02168401
"9/10/2023",30,"L9_D_12","L9","Drought","SWIR",0.45522898,0.017064791
"9/10/2023",30,"L9_C_12","L9","Control","SWIR",0.41406247,0.020295471
"9/10/2023",30,"L4_C_2","L4","Control","SWIR",0.40879786,0.017324403
"9/10/2023",30,"L8_C_5","L8","Control","SWIR",0.41338065,0.01806568
"9/10/2023",30,"L9_C_2","L9","Control","SWIR",0.45239604,0.01706368
"9/10/2023",30,"L7_C_12","L7","Control","SWIR",0.38948464,0.023926651
"9/10/2023",30,"L5_D_5","L5","Drought","SWIR",0.3794474,0.02204428
"9/10/2023",30,"L3_D_4","L3","Drought","SWIR",0.37767264,0.021508291
"9/10/2023",30,"L8_C_6","L8","Control","SWIR",0.41595232,0.020123933
"9/10/2023",30,"L5_D_1","L5","Drought","SWIR",0.4031537,0.01819265
"9/10/2023",30,"L6_D_1","L6","Drought","SWIR",0.42273733,0.014415596
