"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","VNIR_Plant_PRI","VNIR_Plant_NDVI","VNIR_Plant_PSRI","VNIR_Plant_SIPI","VNIR_Plant_MCARI1"
"9/10/2023",30,"L8_C_17","L8","Control","VNIR",0.09042256,0.68568873,-0.10375489,0.5887114,1.4595178
"9/10/2023",30,"L8_C_4","L8","Control","VNIR",0.0926889,0.729328,-0.09266991,0.638629,1.4947907
"9/10/2023",30,"L6_D_12","L6","Drought","VNIR",0.08586487,0.68598187,-0.09029828,0.5973736,1.411863
"9/10/2023",30,"L1_C_8","L1","Control","VNIR",0.07473272,0.68856025,-0.0782693,0.6149829,1.4600478
"9/10/2023",30,"L1_C_9","L1","Control","VNIR",0.07882243,0.7304084,-0.07645682,0.65619326,1.4973406
"9/10/2023",30,"L8_C_2","L8","Control","VNIR",0.07241268,0.6205842,-0.09854024,0.53092724,1.3788509
"9/10/2023",30,"L3_C_8","L3","Control","VNIR",0.093240336,0.72127974,-0.10881303,0.61653733,1.5191222
"9/10/2023",30,"L7_D_14","L7","Drought","VNIR",0.08161744,0.6445861,-0.10325862,0.5537886,1.3907971
"9/10/2023",30,"L8_C_18","L8","Control","VNIR",0.08904321,0.71067774,-0.10344915,0.6057618,1.4829403
"9/10/2023",30,"L9_D_11","L9","Drought","VNIR",0.084884964,0.68818563,-0.092558436,0.59756356,1.4498417
"9/10/2023",30,"L9_C_5","L9","Control","VNIR",0.094876476,0.7021846,-0.116977096,0.59178585,1.4915357
"9/10/2023",30,"L9_D_18","L9","Drought","VNIR",0.09613793,0.70413744,-0.1114576,0.59189206,1.4879065
"9/10/2023",30,"L6_D_2","L6","Drought","VNIR",0.09468507,0.66915154,-0.116437174,0.5572762,1.4357073
"9/10/2023",30,"L8_C_10","L8","Control","VNIR",0.08630681,0.67648846,-0.10852636,0.56898814,1.4665112
"9/10/2023",30,"L6_C_13","L6","Control","VNIR",0.09679822,0.7270134,-0.10544456,0.61965245,1.491607
"9/10/2023",30,"L2_C_9","L2","Control","VNIR",0.08439014,0.66595715,-0.10781599,0.56154054,1.4633956
"9/10/2023",30,"L6_C_16","L6","Control","VNIR",0.07955198,0.68837154,-0.087340176,0.5997763,1.4425374
"9/10/2023",30,"L6_C_17","L6","Control","VNIR",0.09598554,0.71496147,-0.10509453,0.61065996,1.4820212
"9/10/2023",30,"L6_C_14","L6","Control","VNIR",0.09190694,0.71504116,-0.09959882,0.61569667,1.4878613
"9/10/2023",30,"L2_D_7","L2","Drought","VNIR",0.08970084,0.6919667,-0.10266292,0.59050757,1.4463916
"9/10/2023",30,"L1_D_3","L1","Drought","VNIR",0.09967043,0.6873442,-0.11960749,0.5477901,1.4441291
"9/10/2023",30,"L9_D_20","L9","Drought","VNIR",0.09260735,0.69438756,-0.10168196,0.591645,1.4387364
"9/10/2023",30,"L9_D_12","L9","Drought","VNIR",0.09253536,0.64780784,-0.111644186,0.54394263,1.3872893
"9/10/2023",30,"L9_C_12","L9","Control","VNIR",0.09641092,0.7104264,-0.10979563,0.5995419,1.4999549
"9/10/2023",30,"L4_C_2","L4","Control","VNIR",0.08047517,0.6872651,-0.103843234,0.5866921,1.490195
"9/10/2023",30,"L8_C_5","L8","Control","VNIR",0.09750907,0.71846646,-0.11120835,0.6054418,1.5200444
"9/10/2023",30,"L9_C_2","L9","Control","VNIR",0.09767782,0.68422806,-0.11954787,0.56438154,1.4810675
"9/10/2023",30,"L7_C_12","L7","Control","VNIR",0.08993184,0.6645933,-0.11006209,0.55377793,1.4281346
"9/10/2023",30,"L5_D_5","L5","Drought","VNIR",0.083498254,0.6989148,-0.09153705,0.6019007,1.4540977
"9/10/2023",30,"L3_D_4","L3","Drought","VNIR",0.079565346,0.693026,-0.08657348,0.6045157,1.4538008
"9/10/2023",30,"L8_C_6","L8","Control","VNIR",0.0842444,0.7039858,-0.108260036,0.6005303,1.5447094
"9/10/2023",30,"L5_D_1","L5","Drought","VNIR",0.08968686,0.6969377,-0.10263866,0.5960322,1.44702
