"Plant.ID","Plant.Info","Plant.Name","Tiller.number.per.pot","Spike.number.per.pot","Total.Biomass.DW","Total.Spike.weight","X5.spike.weight","Grain.number.per.5.spikes","Grain.weight.per.5.spikes","Overall.spike.length","spikelet.density.to.overall.spike.length","Spike.length.to.base.of.top.seed","spikelet.density.to.base.of.top.spike","Infertal.tip.length","X20.seed.weight"
"L3_C_1","Control","L3",26,25,76.64,40.589,11.929,129,8.233,10.56825,2.44127457242211,9.13825,2.82329767734522,1.43,2
"L3_C_2","Control","L3",46,34,75.98,39.271,9.101,103,6.15,10.3396,1.99234012921196,10.5194,1.95828659429245,0.179799999999998,2
"L3_C_3","Control","L3",42,38,63.19,27.533,6.503,78,4.986,7.3145,2.13275001708934,6.654,2.34445446348061,0.660500000000001,2
"L3_C_4","Control","L3",36,31,57.54,22.803,5.723,74,4.418,8.04325,1.84005221769807,6.0572,2.44337317572476,1.98605,2
"L3_C_5","Control","L3",29,19,78.97,29.393,8.393,101,4.76,11.38625,1.77406960149303,9.256,2.18236819360415,2.13025,1.9
"L3_C_6","Control","L3",37,31,95.28,39.433,8.753,131,5.697,10.53925,2.48594539459639,9.22275,2.84080127944485,1.3165,1.7
"L3_C_7","Control","L3",33,28,87.34,43.449,10.709,116,6.988,10.59475,2.18976379810755,8.9275,2.59871184542145,1.66725,2
"L3_C_8","Control","L3",27,22,71.93,35.698,8.458,97,5.115,11.2765,1.72039196559216,9.0002,2.15550765538544,2.2763,2
"L3_C_9","Control","L3",40,31,96.49,42.408,7.898,85,4.561,10.9735,1.54918667699458,8.8615,1.91841110421486,2.112,1.8
"L3_D_1","Drought","L3",24,13,34.21,13.674,7.924,89,5.423,10.9054,1.63221890072808,8.5494,2.08201745151707,2.356,1.9
"L3_D_2","Drought","L3",39,23,33.03,18.79,5.69,95,4.113,8.4978,2.23587281414013,7.5428,2.51895847695816,0.955,1.8
"L3_D_3","Drought","L3",37,14,45.9,13.411,8.601,108,5.667,10.2468,2.10797517273685,9.5894,2.25248712119632,0.657400000000001,1.7
"L3_D_4","Drought","L3",50,22,43.92,17.264,8.684,92,6.032,9.5438,1.92795322617825,8.705,2.11372774267662,0.838799999999999,2
"L3_D_5","Drought","L3",50,16,49.39,11.642,7.532,74,4.592,8.75475,1.69051086553014,8.664,1.70821791320406,0.0907499999999999,2
"L3_D_6","Drought","L3",31,11,45.24,14.847,8.797,127,5.698,11.3946,2.22912607726467,9.9094,2.56322279855491,1.4852,1.8
"L3_D_7","Drought","L3",46,18,40.6,19.885,11.135,119,7.821,10.4252,2.28292982388827,9.9446,2.39325865293727,0.480600000000001,2
"L3_D_8","Drought","L3",46,18,43.76,17.1,7.29,88,4.989,9.585,1.83620239958268,8.5906,2.04875096035201,0.994400000000001,2.1
"L3_D_9","Drought","L3",58,14,41.41,13.04,8.88,97,6.165,10.1124,1.91843677069736,9.99375,1.94121325828643,0.118649999999999,2.1
"L2_C_1","Control","L2",39,34,70.83,NA,5.967,83,4.413,7.496,2.2145144076841,6.6318,2.50309116680238,0.8642,2
"L2_C_2","Control","L2",46,44,64.62,50.72,8.17,100,5.901,9.1864,2.17713141165201,8.54275,2.34116648620175,0.643649999999999,2
"L2_C_3","Control","L2",43,41,70.48,44.302,7.442,90,5.339,8.8042,2.04447877149542,7.8724,2.28646918347645,0.9318,2
"L2_C_4","Control","L2",48,46,71.83,49.017,8.567,104,6.406,9.0202,2.30593556683887,8.2596,2.51828175698581,0.760600000000002,1.9
"L2_C_5","Control","L2",37,35,77.09,42.063,8.603,104,5.945,10.57,1.9678334910123,9.773,2.12831269825028,0.797000000000001,2
"L2_C_6","Control","L2",45,44,71.21,48.632,7.692,89,5.611,9.01,1.97558268590455,7.64275,2.32900461221419,1.36725,2
"L2_C_7","Control","L2",36,34,61.85,36.3,8.48,104,5.791,10.0228,2.07526838807519,8.3528,2.49018293266928,1.67,2
"L2_C_8","Control","L2",47,45,69.9,50.479,8.509,103,6.492,9.89425,2.08201733329964,9.02175,2.28337074292682,0.872499999999999,2
"L2_C_9","Control","L2",42,42,62.57,47.068,8.598,106,6.297,9.7945,2.16448006534279,8.9222,2.37609558180718,0.872299999999999,2
"L2_D_1","Drought","L2",29,26,25.5,20.788,6.788,93,5.167,7.9672,2.33457174415102,7.6265,2.43886448567495,0.3407,1.9
"L2_D_2","Drought","L2",29,25,23.91,20.343,6.053,89,4.69,7.58275,2.34743331904652,6.888,2.58420441347271,0.69475,1.8
"L2_D_3","Drought","L2",25,16,20.8,14.94,5.84,85,4.385,7.3984,2.29779411764706,6.9796,2.43566966588343,0.4188,1.9
"L2_D_4","Drought","L2",25,20,23.24,18.188,5.048,81,3.661,6.735,2.40534521158129,6.0858,2.66193433895297,0.6492,1.9
